Time,Id
5.1387E+0,-621.2637E-9
5.1566E+0,-628.8656E-9
5.1745E+0,-633.7660E-9
5.1924E+0,-637.8916E-9
5.2103E+0,-642.0172E-9
5.2282E+0,-646.4779E-9
5.2461E+0,-646.3522E-9
5.2640E+0,-644.8863E-9
5.2819E+0,-643.3784E-9
5.2998E+0,-642.6036E-9
5.3177E+0,-641.8707E-9
5.3356E+0,-641.3262E-9
5.3535E+0,-647.5040E-9
5.3714E+0,-652.0275E-9
5.3893E+0,-656.1531E-9
5.4072E+0,-660.0064E-9
5.4251E+0,-664.0063E-9
5.4430E+0,-665.3466E-9
5.4609E+0,-663.9644E-9
5.4788E+0,-662.9383E-9
5.4967E+0,-661.9959E-9
5.5147E+0,-661.4724E-9
5.5326E+0,-660.7185E-9
5.5505E+0,-666.2890E-9
5.5684E+0,-670.7287E-9
5.5863E+0,-674.3726E-9
5.6042E+0,-677.1369E-9
5.6221E+0,-680.5714E-9
5.6400E+0,-682.3306E-9
5.6579E+0,-680.8437E-9
5.6758E+0,-679.9851E-9
5.6937E+0,-679.3359E-9
5.7116E+0,-678.4563E-9
5.7295E+0,-678.3097E-9
5.7474E+0,-681.6814E-9
5.7653E+0,-685.4509E-9
5.7832E+0,-688.8226E-9
5.8011E+0,-691.9848E-9
5.8190E+0,-696.1942E-9
5.8369E+0,-699.1470E-9
5.8548E+0,-697.2622E-9
5.8727E+0,-696.3408E-9
5.8906E+0,-695.9847E-9
5.9085E+0,-695.1471E-9
5.9264E+0,-694.8539E-9
5.9443E+0,-697.3879E-9
5.9622E+0,-701.5763E-9
5.9801E+0,-705.4087E-9
5.9980E+0,-708.3825E-9
6.0159E+0,-710.9583E-9
6.0338E+0,-714.0577E-9
6.0517E+0,-712.2986E-9
6.0696E+0,-711.5237E-9
6.0875E+0,-710.9583E-9
6.1054E+0,-710.1415E-9
6.1233E+0,-709.9949E-9
6.1413E+0,-711.9007E-9
6.1592E+0,-715.2305E-9
6.1771E+0,-718.1833E-9
6.1950E+0,-720.7801E-9
6.2129E+0,-723.7539E-9
6.2308E+0,-726.8114E-9
6.2487E+0,-725.8899E-9
6.2666E+0,-725.1570E-9
6.2845E+0,-724.6543E-9
6.3024E+0,-724.0889E-9
6.3203E+0,-723.6492E-9
6.3382E+0,-724.4659E-9
6.3561E+0,-728.0470E-9
6.3740E+0,-731.0836E-9
6.3919E+0,-734.1411E-9
6.4098E+0,-736.9474E-9
6.4277E+0,-739.6069E-9
6.4456E+0,-739.5441E-9
6.4635E+0,-738.5598E-9
6.4814E+0,-738.0781E-9
6.4994E+0,-737.5127E-9
6.5173E+0,-737.1986E-9
6.5352E+0,-736.9892E-9
6.5531E+0,-741.2823E-9
6.5710E+0,-744.0466E-9
6.5890E+0,-746.4550E-9
6.6068E+0,-748.7167E-9
6.6248E+0,-751.1251E-9
6.6427E+0,-751.6277E-9
6.6606E+0,-750.8528E-9
6.6785E+0,-750.4131E-9
6.6964E+0,-749.9314E-9
6.7143E+0,-749.4706E-9
6.7323E+0,-749.1565E-9
6.7502E+0,-752.1721E-9
6.7681E+0,-754.5805E-9
6.7860E+0,-756.8003E-9
6.8039E+0,-759.3553E-9
